DART backfill log
============================================================
Universe: 136, resolved: 134, missing: 2
Years: 2020-2024

Calls: 2680, ok: 2315, fail: 365
Elapsed: 10.2 min

ERRORS (365):
  277810 2020 1Q: 조회된 데이타가 없습니다.
  277810 2020 2Q: 조회된 데이타가 없습니다.
  277810 2020 3Q: 조회된 데이타가 없습니다.
  178920 2020 1Q: 조회된 데이타가 없습니다.
  178920 2020 2Q: 조회된 데이타가 없습니다.
  178920 2020 3Q: 조회된 데이타가 없습니다.
  178920 2020 Annual: 조회된 데이타가 없습니다.
  178920 2021 1Q: 조회된 데이타가 없습니다.
  178920 2021 2Q: 조회된 데이타가 없습니다.
  178920 2021 3Q: 조회된 데이타가 없습니다.
  178920 2021 Annual: 조회된 데이타가 없습니다.
  178920 2022 1Q: 조회된 데이타가 없습니다.
  178920 2022 2Q: 조회된 데이타가 없습니다.
  178920 2022 3Q: 조회된 데이타가 없습니다.
  178920 2022 Annual: 조회된 데이타가 없습니다.
  178920 2023 1Q: 조회된 데이타가 없습니다.
  178920 2023 2Q: 조회된 데이타가 없습니다.
  178920 2023 3Q: 조회된 데이타가 없습니다.
  178920 2023 Annual: 조회된 데이타가 없습니다.
  178920 2024 1Q: 조회된 데이타가 없습니다.
  178920 2024 2Q: 조회된 데이타가 없습니다.
  178920 2024 3Q: 조회된 데이타가 없습니다.
  178920 2024 Annual: 조회된 데이타가 없습니다.
  213420 2020 1Q: 조회된 데이타가 없습니다.
  213420 2020 2Q: 조회된 데이타가 없습니다.
  213420 2020 3Q: 조회된 데이타가 없습니다.
  213420 2020 Annual: 조회된 데이타가 없습니다.
  213420 2021 1Q: 조회된 데이타가 없습니다.
  213420 2021 2Q: 조회된 데이타가 없습니다.
  213420 2021 3Q: 조회된 데이타가 없습니다.
  357550 2020 1Q: 조회된 데이타가 없습니다.
  357550 2020 2Q: 조회된 데이타가 없습니다.
  357550 2020 3Q: 조회된 데이타가 없습니다.
  357780 2020 1Q: 조회된 데이타가 없습니다.
  357780 2020 2Q: 조회된 데이타가 없습니다.
  000810 2020 1Q: 조회된 데이타가 없습니다.
  000810 2020 2Q: 조회된 데이타가 없습니다.
  000810 2020 3Q: 조회된 데이타가 없습니다.
  000810 2020 Annual: 조회된 데이타가 없습니다.
  000810 2021 1Q: 조회된 데이타가 없습니다.
  000810 2021 2Q: 조회된 데이타가 없습니다.
  000810 2021 3Q: 조회된 데이타가 없습니다.
  000810 2021 Annual: 조회된 데이타가 없습니다.
  000810 2022 1Q: 조회된 데이타가 없습니다.
  000810 2022 2Q: 조회된 데이타가 없습니다.
  000810 2022 3Q: 조회된 데이타가 없습니다.
  000810 2022 Annual: 조회된 데이타가 없습니다.
  000810 2023 1Q: 조회된 데이타가 없습니다.
  000810 2023 2Q: 조회된 데이타가 없습니다.
  005830 2020 1Q: 조회된 데이타가 없습니다.
  ... +315 more
